User Name,Nickname,Favs,Rts,Favs+RTs,Tweet content,Hour,Date (YYYY-MM-DD),Date (DD-MM-YYYY),Time Code (UTC)
MALUMA,maluma,2089,449,2538,"Y DELE 💪🏻💪🏻💪🏻... Viernes por la noche sin excusa alguna!! @ Mexico City, Mexico https://t.co/IpwfZqAtiu",02:46:24,2016-04-16,16-04-2016,2016-04-16T02:46:24Z
MALUMA,maluma,2006,425,2431,Hoy me dieron esta sorpresa en @Estacanon un programa de televisión increíble donde me llevaron… https://t.co/8CPPV1V9vu,23:37:30,2016-04-15,15-04-2016,2016-04-15T23:37:30Z
MALUMA,maluma,1847,426,2273,"AGRADECER... Regla #1!! 
Gracias a los medios de comunicación por creer en mí y sacar un rato de… https://t.co/DmE2uDh6Yx",21:58:25,2016-04-14,14-04-2016,2016-04-14T21:58:25Z
MALUMA,maluma,1576,373,1949,"😇😈 @ Mexico City, Mexico https://t.co/8I2GyzaVWL",15:55:03,2016-04-15,15-04-2016,2016-04-15T15:55:03Z
MALUMA,maluma,1550,313,1863,"""MEDALLO PARAÍSO"" nueva colección amelissaenlinea ya tienen la suya?? @ Mexico City, Mexico https://t.co/Jqxh5dHI5y",14:26:04,2016-04-15,15-04-2016,2016-04-15T14:26:04Z
Charlotte Ross,charlotteross,853,499,1352,Do I look bloated? 😊 @amellywood &amp; @echok have inspired me to try snapchat... 🙆 @ Mulholland… https://t.co/V7lTzfGWYz,00:29:24,2016-04-16,16-04-2016,2016-04-16T00:29:24Z
Tanya Burr,TanyaBurr,477,103,580,"I'm snapchatting all day at Coachella so add me - 'tanyaburr' 👻 @ Palm Springs, California https://t.co/ttxMJJ3iIM",17:22:41,2016-04-15,15-04-2016,2016-04-15T17:22:41Z
MALUMA,maluma,356,70,426,Batman o SuperMan? @ Miami International Airport MIA International Departures https://t.co/bh0uitZ9Yv,10:36:36,2016-04-14,14-04-2016,2016-04-14T10:36:36Z
Alfredo Flores,AlfredoFlores,243,153,396,"Ya boy has arriveeddddd 😝🤘🏽 #coachella @ La Quinta, California https://t.co/hpiam3nYYy",01:54:17,2016-04-16,16-04-2016,2016-04-16T01:54:17Z
Fran,_Franncis,237,100,337,Prom &amp; dodger game tonight w/my lover 😻💙 https://t.co/mMOCZGokjy,00:58:19,2016-04-16,16-04-2016,2016-04-16T00:58:19Z
Tanya Burr,TanyaBurr,188,50,238,Morning at the pool before the Coachella madness begins ☀️🌴👙💦 @ Avalon Hotel Palm Springs https://t.co/eK1SFQSuiN,17:03:45,2016-04-15,15-04-2016,2016-04-15T17:03:45Z
